"","lab_label","date","site_name","processed"
"86","x.086","2016-06-13","Lone Tree Point",1
"87","x.087","2016-06-13","Lone Tree Point",1
"88","x.088","2016-06-13","Lone Tree Point",1
"89","x.089","2016-06-13","Hoypus",1
"90","x.090","2016-06-13","Hoypus",1
"91","x.091","2016-06-13","Hoypus",1
"92","x.092","2016-06-13","Hoypus",1
"93","x.093","2016-06-13","Hoypus",1
"94","x.094","2016-06-13","Hoypus",1
"95","x.NA","2016-06-13","Hoypus",0
"96","x.096","2016-06-13","Dugualla Bluff",1
"97","x.097","2016-06-13","Dugualla Bluff",1
"98","x.098","2016-06-13","Dugualla Bluff",1
"99","x.099","2016-06-13","Dugualla Bluff",1
"100","x.100","2016-06-13","Dugualla Bluff",1
"101","x.101","2016-06-13","Dugualla Bluff",1
"102","x.NA","2016-06-13","Dugualla Bluff",0
"103","x.102","2016-06-13","Random Middle 433",1
"104","x.103","2016-06-13","Random Middle 433",1
"105","x.104","2016-06-13","Random Middle 433",0
"106","x.105","2016-06-13","Random Middle 433",0
"107","x.106","2016-06-13","Random Middle 433",1
"108","x.NA","2016-06-13","Random Middle 433",0
"109","x.107","2016-06-13","Turners Spit N",1
"110","x.108","2016-06-13","Turners Spit N",1
"111","x.109","2016-06-13","Turners Spit N",1
"112","x.110","2016-06-13","Turners Spit N",0
"113","x.111","2016-06-13","Turners Spit N",0
"114","x.112","2016-06-13","Turners Spit N",1
"115","x.NA","2016-06-13","Turners Spit N",0
"116","x.095","2016-06-13",NA,1
"117","x.113","2016-06-15","Strawberry Point North",1
"118","x.114","2016-06-15","Strawberry Point North",1
"119","x.115","2016-06-15","Strawberry Point North",1
"120","x.119","2016-06-15","Strawberry Point North",0
"121","x.117","2016-06-15","Strawberry Point North",0
"122","x.118","2016-06-15","Strawberry Point North",1
"123","x.116","2016-06-15","Brown Point",1
"124","x.121","2016-06-15","Brown Point",1
"125","x.122","2016-06-15","Brown Point",1
"126","x.123","2016-06-15","Brown Point",1
"127","x.124","2016-06-15","Brown Point",0
"128","x.125","2016-06-15","Brown Point",0
"129","x.126","2016-06-15","Random near Camp Grande",1
"130","x.127","2016-06-15","Random near Camp Grande",1
"131","x.128","2016-06-15","Random near Camp Grande",1
"132","x.129","2016-06-15","Random near Camp Grande",1
"133","x.130","2016-06-15","Random near Camp Grande",0
"134","x.131","2016-06-15","Random near Camp Grande",0
"135","x.132","2016-06-15","Mariners Bluff",1
"136","x.133","2016-06-15","Mariners Bluff",0
"137","x.134","2016-06-15","Mariners Bluff",0
"138","x.135","2016-06-15","Mariners Bluff",0
"139","x.136","2016-06-15","Mariners Bluff",1
"140","x.137","2016-06-15","Mariners Bluff",1
"141","x.120","2016-06-15",NA,1
"142","x.AQ323-160603","2016-06-03","Aquarium323",0
"143","x.AQJO-160603A","2016-06-03","AquariumJimmy",0
"144","x.AQJO-160603B","2016-06-03","AquariumJimmy",0
"145","x.138","2017-02-14","Cattail",1
"146","x.139","2017-02-14","Cattail",1
"147","x.140","2017-02-14","Cattail",0
"148","x.141","2017-02-14","Cattail",0
"149","x.142","2017-02-14","Cattail",0
"150","x.143","2017-02-14","Grain of Sand",0
"151","x.144","2017-02-14","Grain of Sand",0
"152","x.145","2017-02-14","Grain of Sand",0
"153","x.146","2017-02-14","Grain of Sand",0
"154","x.147","2017-02-14","Grain of Sand",1
"155","x.148","2017-02-14","Ika Upper",1
"156","x.149","2017-02-14","Ika Upper",0
"157","x.150","2017-02-14","Ika Upper",0
"158","x.151","2017-02-14","Ika Upper",0
"159","x.152","2017-02-14","Ika Upper",0
"160","x.153","2017-02-14","Ika Lower",0
"161","x.154","2017-02-14","Ika Lower",0
"162","x.155","2017-02-14","Ika Lower",0
"163","x.156","2017-02-14","Ika Lower",1
"164","x.157","2017-02-14","Ika Lower",1
"165","x.158","2017-02-14",NA,0
"166","x.NA","2017-02-14",NA,0
"167","x.200","2017-02-15","Tom Moore",0
"168","x.201","2017-02-15","Tom Moore",0
"169","x.202","2017-02-15","Tom Moore",0
"170","x.203","2017-02-15","Tom Moore",0
"171","x.204","2017-02-15","Tom Moore",0
"172","x.205","2017-02-15","Deepwater",0
"173","x.206","2017-02-15","Deepwater",1
"174","x.207","2017-02-15","Deepwater",1
"175","x.208","2017-02-15","Deepwater",0
"176","x.209","2017-02-15","Deepwater",0
"177","x.210","2017-02-15",NA,0
"178","x.211","2017-02-15","Wylie Boat Ramp",0
"179","x.212","2017-02-15","Wylie Boat Ramp",0
"180","x.213","2017-02-15","Wylie Boat Ramp",0
"181","x.214","2017-02-15","Wylie Boat Ramp",0
"182","x.215","2017-02-15","Wylie Boat Ramp",1
"183","x.216","2017-02-15","Freshwater Pond",1
"184","x.217","2017-02-15","Freshwater Pond",0
"185","x.218","2017-02-15","Freshwater Pond",0
"186","x.219","2017-02-15","Freshwater Pond",0
"187","x.220","2017-02-15","Freshwater Pond",0
"188","x.221","2017-02-17","Browns Slough Diked Side",0
"189","x.222","2017-02-17","Browns Slough Diked Side",0
"190","x.223","2017-02-17","Browns Slough Diked Side",0
"191","x.224","2017-02-17","Browns Slough Diked Side",1
"192","x.225","2017-02-17","Browns Slough Diked Side",1
"193","x.226","2017-02-17",NA,0
"194","x.227","2017-02-21","Lone Tree Point",1
"195","x.228","2017-02-21","Lone Tree Point",1
"196","x.229","2017-02-21","Lone Tree Point",1
"197","x.230","2017-02-21","Lone Tree Point",1
"198","x.231","2017-02-21","Lone Tree Point",1
"199","x.232","2017-02-21","Hoypus",1
"200","x.233","2017-02-21","Hoypus",1
"201","x.234","2017-02-21","Hoypus",1
"202","x.235","2017-02-21","Hoypus",1
"203","x.236","2017-02-21","Hoypus",1
"204","x.237","2017-02-21","Random North 1041",0
"205","x.238","2017-02-21","Random North 1041",0
"206","x.239","2017-02-21","Random North 1041",0
"207","x.240","2017-02-21","Random North 1041",0
"208","x.241","2017-02-21","Turners Spit N",1
"209","x.243","2017-02-21","Turners Spit N",1
"210","x.242","2017-02-21","Turners Spit N",1
"211","x.245","2017-02-21","Turners Spit N",1
"212","x.244","2017-02-21","Turners Spit N",1
"213","x.246","2017-02-21","Dugualla Bluff",0
"214","x.247","2017-02-21","Dugualla Bluff",0
"215","x.248","2017-02-21","Dugualla Bluff",0
"216","x.249","2017-02-21","Dugualla Bluff",0
"217","x.250","2017-02-21","Dugualla Bluff",0
"218","x.251","2017-02-21",NA,1
"219","x.252","2017-02-22","Goat Island",1
"220","x.253","2017-02-22","Goat Island",1
"221","x.254","2017-02-22","Goat Island",1
"222","x.255","2017-02-22","Goat Island",1
"223","x.256","2017-02-22","Goat Island",1
"224","x.257","2017-02-22","Random 364",0
"225","x.258","2017-02-22","Random 364",0
"226","x.259","2017-02-22","Random 364",0
"227","x.260","2017-02-22","Random 364",0
"228","x.261","2017-02-22","Strawberry Point North",1
"229","x.262","2017-02-22","Strawberry Point North",1
"230","x.263","2017-02-22","Strawberry Point North",1
"231","x.264","2017-02-22","Strawberry Point North",1
"232","x.265","2017-02-22","Strawberry Point North",1
"233","x.266","2017-02-22","Mariners Bluff",0
"234","x.267","2017-02-22","Mariners Bluff",0
"235","x.268","2017-02-22","Mariners Bluff",0
"236","x.269","2017-02-22","Mariners Bluff",0
"237","x.270","2017-02-22","Mariners Bluff",1
"238","x.271","2017-02-22","Brown Point",1
"239","x.272","2017-02-22","Brown Point",1
"240","x.273","2017-02-22","Brown Point",0
"241","x.274","2017-02-22","Brown Point",0
"242","x.275","2017-02-22","Brown Point",0
"243","x.276","2017-02-22",NA,0
"244","x.277","2017-03-14","Grain of Sand",0
"245","x.278","2017-03-14","Grain of Sand",0
"246","x.279","2017-03-14","Grain of Sand",1
"247","x.280","2017-03-14","Grain of Sand",1
"248","x.281","2017-03-14","Grain of Sand",1
"249","x.283","2017-03-14","Cattail",0
"250","x.284","2017-03-14","Cattail",0
"251","x.285","2017-03-14","Cattail",0
"252","x.286","2017-03-14","Cattail",0
"253","x.287","2017-03-14","Cattail",0
"254","x.288","2017-03-14","Ika Upper",1
"255","x.289","2017-03-14","Ika Upper",1
"256","x.290","2017-03-14","Ika Upper",1
"257","x.291","2017-03-14","Ika Upper",0
"258","x.292","2017-03-14","Ika Upper",0
"259","x.293","2017-03-14","Ika Lower",0
"260","x.294","2017-03-14","Ika Lower",0
"261","x.295","2017-03-14","Ika Lower",0
"262","x.296","2017-03-14","Ika Lower",0
"263","x.297","2017-03-14","Ika Lower",1
"264","x.282","2017-03-14",NA,0
"265","x.298","2017-03-15","Wylie Boat Ramp",1
"266","x.299","2017-03-15","Wylie Boat Ramp",1
"267","x.300","2017-03-15","Wylie Boat Ramp",0
"268","x.301","2017-03-15","Wylie Boat Ramp",1
"269","x.302","2017-03-15","Wylie Boat Ramp",0
"270","x.303","2017-03-15","Freshwater Pond",0
"271","x.304","2017-03-15","Freshwater Pond",0
"272","x.305","2017-03-15","Freshwater Pond",0
"273","x.306","2017-03-15","Freshwater Pond",1
"274","x.307","2017-03-15","Freshwater Pond",1
"275","x.308","2017-03-15","Tom Moore",1
"276","x.309","2017-03-15","Tom Moore",0
"277","x.310","2017-03-15","Tom Moore",0
"278","x.311","2017-03-15","Tom Moore",0
"279","x.316","2017-03-15","Tom Moore",0
"280","x.312","2017-03-15","Deepwater",0
"281","x.313","2017-03-15","Deepwater",0
"282","x.314","2017-03-15","Deepwater",0
"283","x.318","2017-03-15","Deepwater",0
"284","x.317","2017-03-15","Deepwater",1
"285","x.315","2017-03-15",NA,1
"286","x.319","2017-03-16","Browns Slough Diked Side",0
"287","x.320","2017-03-16","Browns Slough Diked Side",0
"288","x.321","2017-03-16","Browns Slough Diked Side",0
"289","x.322","2017-03-16","Browns Slough Diked Side",0
"290","x.323","2017-03-16","Browns Slough Diked Side",0
"291","x.324","2017-03-16",NA,1
"292","x.325","2017-03-20","Strawberry Point North",1
"293","x.326","2017-03-20","Strawberry Point North",1
"294","x.327","2017-03-20","Strawberry Point North",1
"295","x.328","2017-03-20","Strawberry Point North",1
"296","x.329","2017-03-20","Strawberry Point North",1
"297","x.330","2017-03-20","Brown Point",0
"298","x.331","2017-03-20","Brown Point",0
"299","x.332","2017-03-20","Brown Point",0
"300","x.333","2017-03-20","Brown Point",0
"301","x.334","2017-03-20","Brown Point",1
"302","x.335","2017-03-20","Mariners Bluff",1
"303","x.336","2017-03-20","Mariners Bluff",0
"304","x.337","2017-03-20","Mariners Bluff",0
"305","x.338","2017-03-20","Mariners Bluff",0
"306","x.339","2017-03-20","Mariners Bluff",0
"307","x.341","2017-03-20","Goat Island",1
"308","x.342","2017-03-20","Goat Island",1
"309","x.343","2017-03-20","Goat Island",1
"310","x.344","2017-03-20","Goat Island",1
"311","x.345","2017-03-20","Goat Island",1
"312","x.340","2017-03-20",NA,0
"313","x.346","2017-03-21","Dugualla Bluff",0
"314","x.347","2017-03-21","Dugualla Bluff",0
"315","x.348","2017-03-21","Dugualla Bluff",0
"316","x.349","2017-03-21","Dugualla Bluff",0
"317","x.350","2017-03-21","Dugualla Bluff",0
"318","x.351","2017-03-21","Lone Tree Point",1
"319","x.352","2017-03-21","Lone Tree Point",1
"320","x.353","2017-03-21","Lone Tree Point",1
"321","x.354","2017-03-21","Lone Tree Point",1
"322","x.355","2017-03-21","Lone Tree Point",1
"323","x.356","2017-03-21","Turners Spit N",1
"324","x.357","2017-03-21","Turners Spit N",1
"325","x.358","2017-03-21","Turners Spit N",1
"326","x.359","2017-03-21","Turners Spit N",1
"327","x.360","2017-03-21","Turners Spit N",1
"328","x.361","2017-03-21","Hoypus",1
"329","x.362","2017-03-21","Hoypus",1
"330","x.363","2017-03-21","Hoypus",1
"331","x.364","2017-03-21","Hoypus",1
"332","x.365","2017-03-21","Hoypus",1
"333","x.366","2017-03-21",NA,0
"334","x.369","2017-04-12",NA,0
"335","x.370","2017-04-12",NA,0
"336","x.373","2017-04-12","Grain of Sand",0
"337","x.374","2017-04-12","Grain of Sand",0
"338","x.375","2017-04-12","Grain of Sand",0
"339","x.376","2017-04-12","Grain of Sand",0
"340","x.377","2017-04-12","Grain of Sand",0
"341","x.371","2017-04-12","Grain of Sand",1
"342","x.372","2017-04-12","Grain of Sand",1
"343","x.378","2017-04-12","Cattail",0
"344","x.379","2017-04-12","Cattail",0
"345","x.380","2017-04-12","Cattail",1
"346","x.381","2017-04-12","Cattail",1
"347","x.382","2017-04-12","Cattail",0
"348","x.383","2017-04-12","Ika Lower",0
"349","x.384","2017-04-12","Ika Lower",0
"350","x.385","2017-04-12","Ika Lower",0
"351","x.386","2017-04-12","Ika Lower",0
"352","x.387","2017-04-12","Ika Lower",0
"353","x.388","2017-04-12","Ika Upper",0
"354","x.389","2017-04-12","Ika Upper",1
"355","x.390","2017-04-12","Ika Upper",1
"356","x.391","2017-04-12","Ika Upper",0
"357","x.392","2017-04-12","Ika Upper",0
"358","x.413","2017-04-13","Wylie Boat Ramp",0
"359","x.393","2017-04-13","Wylie Boat Ramp",1
"360","x.394","2017-04-13","Wylie Boat Ramp",0
"361","x.395","2017-04-13","Wylie Boat Ramp",0
"362","x.396","2017-04-13","Wylie Boat Ramp",0
"363","x.397","2017-04-13","Wylie Boat Ramp",0
"364","x.398","2017-04-13","Tom Moore",0
"365","x.399","2017-04-13","Tom Moore",0
"366","x.400","2017-04-13","Tom Moore",0
"367","x.401","2017-04-13","Tom Moore",0
"368","x.402","2017-04-13","Tom Moore",1
"369","x.403","2017-04-13","Deepwater",0
"370","x.404","2017-04-13","Deepwater",0
"371","x.405","2017-04-13","Deepwater",0
"372","x.406","2017-04-13","Deepwater",0
"373","x.407","2017-04-13","Deepwater",0
"374","x.408","2017-04-13","Freshwater Pond",0
"375","x.409","2017-04-13","Freshwater Pond",0
"376","x.410","2017-04-13","Freshwater Pond",0
"377","x.411","2017-04-13","Freshwater Pond",1
"378","x.412","2017-04-13","Freshwater Pond",0
"379","x.414","2017-04-14","Browns Slough Diked Side",0
"380","x.415","2017-04-14","Browns Slough Diked Side",0
"381","x.416","2017-04-14","Browns Slough Diked Side",0
"382","x.417","2017-04-14","Browns Slough Diked Side",0
"383","x.418","2017-04-14","Browns Slough Diked Side",0
"384","x.419","2017-04-14","Browns Slough Diked Side",0
"385","x.420","2017-04-17","Turners Spit N",1
"386","x.421","2017-04-17","Turners Spit N",1
"387","x.422","2017-04-17","Turners Spit N",1
"388","x.423","2017-04-17","Turners Spit N",1
"389","x.424","2017-04-17","Turners Spit N",1
"390","x.425","2017-04-17","Dugualla Bluff",0
"391","x.426","2017-04-17","Dugualla Bluff",0
"392","x.427","2017-04-17","Dugualla Bluff",0
"393","x.428","2017-04-17","Dugualla Bluff",0
"394","x.429","2017-04-17","Dugualla Bluff",1
"395","x.430","2017-04-17","Hoypus",1
"396","x.431","2017-04-17","Hoypus",1
"397","x.433","2017-04-17","Hoypus",1
"398","x.434","2017-04-17","Hoypus",1
"399","x.432","2017-04-17","Hoypus",1
"400","x.435","2017-04-17","Lone Tree Point",1
"401","x.436","2017-04-17","Lone Tree Point",1
"402","x.437","2017-04-17","Lone Tree Point",1
"403","x.438","2017-04-17","Lone Tree Point",1
"404","x.439","2017-04-17","Lone Tree Point",1
"405","x.440","2017-04-17","Hoypus",0
"406","x.441","2017-04-18","Random - Waypoint0333",0
"407","x.442","2017-04-18","Random - Waypoint0333",0
"408","x.443","2017-04-18","Random - Waypoint0333",0
"409","x.445","2017-04-18","Random - Waypoint0333",0
"410","x.444","2017-04-18","Random - Waypoint0333",0
"411","x.446","2017-04-18","Strawberry Point North",1
"412","x.447","2017-04-18","Strawberry Point North",1
"413","x.448","2017-04-18","Strawberry Point North",1
"414","x.449","2017-04-18","Strawberry Point North",1
"415","x.450","2017-04-18","Strawberry Point North",1
"416","x.451","2017-04-18","Goat Island",0
"417","x.452","2017-04-18","Goat Island",0
"418","x.453","2017-04-18","Goat Island",0
"419","x.454","2017-04-18","Goat Island",0
"420","x.455","2017-04-18","Goat Island",0
"421","x.456","2017-04-18","Goat Island",1
"422","x.457","2017-04-18","Aquarium323",0
"423","x.458","2017-05-16","Turners Spit N",1
"424","x.459","2017-05-16","Turners Spit N",1
"425","x.460","2017-05-16","Turners Spit N",1
"426","x.461","2017-05-16","Turners Spit N",1
"427","x.462","2017-05-16","Dugualla Bluff",0
"428","x.463","2017-05-16","Dugualla Bluff",0
"429","x.464","2017-05-16","Dugualla Bluff",0
"430","x.465","2017-05-16","Dugualla Bluff",0
"431","x.466","2017-05-16","Mariners Bluff",0
"432","x.467","2017-05-16","Mariners Bluff",1
"433","x.468","2017-05-16","Mariners Bluff",0
"434","x.469","2017-05-16","Mariners Bluff",0
"435","x.470","2017-05-16","Brown Point",0
"436","x.471","2017-05-16","Brown Point",0
"437","x.472","2017-05-16","Brown Point",0
"438","x.473","2017-05-16","Brown Point",0
"439","x.474","2017-05-16","Strawberry Point North",0
"440","x.475","2017-05-16","Strawberry Point North",0
"441","x.476","2017-05-16","Strawberry Point North",1
"442","x.477","2017-05-16","Strawberry Point North",0
"443","x.478","2017-05-16","Lone Tree Point",0
"444","x.479","2017-05-16","Lone Tree Point",0
"445","x.480","2017-05-16","Lone Tree Point",0
"446","x.481","2017-05-16","Lone Tree Point",0
"447","x.482","2017-05-17","Goat Island",1
"448","x.483","2017-05-17","Goat Island",1
"449","x.484","2017-05-17","Goat Island",1
"450","x.485","2017-05-17","Goat Island",1
"451","x.486","2017-05-17","Goat Island",1
"452","x.487","2017-05-17","Strawberry Point North",1
"453","x.488","2017-05-17","Strawberry Point North",1
"454","x.489","2017-05-17","Strawberry Point North",1
"455","x.490","2017-05-17","Strawberry Point North",1
"456","x.491","2017-05-17","Strawberry Point North",1
"457","x.492","2017-05-17","Hoypus",1
"458","x.493","2017-05-17","Hoypus",1
"459","x.494","2017-05-17","Hoypus",1
"460","x.495","2017-05-17","Hoypus",1
"461","x.496","2017-05-17","Hoypus",1
"462","x.497","2017-05-17","Lone Tree Point",1
"463","x.498","2017-05-17","Lone Tree Point",1
"464","x.499","2017-05-17","Lone Tree Point",1
"465","x.500","2017-05-17","Lone Tree Point",1
"466","x.501","2017-05-17","Lone Tree Point",1
"467","x.502","2017-05-17",NA,0
"468","x.503","2017-05-30","Ika Upper",0
"469","x.504","2017-05-30","Ika Upper",0
"470","x.505","2017-05-30","Ika Upper",0
"471","x.506","2017-05-30","Ika Upper",0
"472","x.507","2017-05-30","Ika Upper",0
"473","x.523","2017-05-30","Ika Upper",0
"474","x.508","2017-05-30","Ika Lower",0
"475","x.509","2017-05-30","Ika Lower",0
"476","x.510","2017-05-30","Ika Lower",0
"477","x.511","2017-05-30","Ika Lower",0
"478","x.512","2017-05-30","Ika Lower",0
"479","x.513","2017-05-30","Cattail",0
"480","x.514","2017-05-30","Cattail",0
"481","x.515","2017-05-30","Cattail",0
"482","x.516","2017-05-30","Cattail",0
"483","x.517","2017-05-30","Cattail",0
"484","x.518","2017-05-30","Grain of Sand",0
"485","x.519","2017-05-30","Grain of Sand",0
"486","x.520","2017-05-30","Grain of Sand",0
"487","x.521","2017-05-30","Grain of Sand",0
"488","x.522","2017-05-30","Grain of Sand",0
"489","x.524","2017-05-30","Grain of Sand",0
"490","x.525","2017-05-31","Wylie Boat Ramp",0
"491","x.526","2017-05-31","Wylie Boat Ramp",0
"492","x.527","2017-05-31","Wylie Boat Ramp",0
"493","x.529","2017-05-31","Wylie Boat Ramp",0
"494","x.528","2017-05-31","Wylie Boat Ramp",0
"495","x.546","2017-05-31","Wylie Boat Ramp",0
"496","x.530","2017-05-31","Freshwater Pond",0
"497","x.531","2017-05-31","Freshwater Pond",0
"498","x.532","2017-05-31","Freshwater Pond",0
"499","x.533","2017-05-31","Freshwater Pond",0
"500","x.534","2017-05-31","Freshwater Pond",0
"501","x.545","2017-05-31","Freshwater Pond",0
"502","x.535","2017-05-31","Deepwater",0
"503","x.536","2017-05-31","Deepwater",0
"504","x.537","2017-05-31","Deepwater",0
"505","x.538","2017-05-31","Deepwater",0
"506","x.539","2017-05-31","Deepwater",0
"507","x.540","2017-05-31","Tom Moore",0
"508","x.541","2017-05-31","Tom Moore",0
"509","x.542","2017-05-31","Tom Moore",0
"510","x.543","2017-05-31","Tom Moore",0
"511","x.544","2017-05-31","Tom Moore",0
"512","x.566","2017-06-19","Strawberry Point North",1
"513","x.567","2017-06-19","Strawberry Point North",1
"514","x.547","2017-06-19","Strawberry Point North",1
"515","x.548","2017-06-19","Strawberry Point North",1
"516","x.549","2017-06-19","Strawberry Point North",1
"517","x.550","2017-06-19","Strawberry Point North",0
"518","x.551","2017-06-19","Brown Point",0
"519","x.552","2017-06-19","Brown Point",0
"520","x.563","2017-06-19","Brown Point",0
"521","x.554","2017-06-19","Brown Point",0
"522","x.555","2017-06-19","Brown Point",0
"523","x.556","2017-06-19","Mariners Bluff",0
"524","x.557","2017-06-19","Mariners Bluff",0
"525","x.558","2017-06-19","Mariners Bluff",0
"526","x.559","2017-06-19","Mariners Bluff",0
"527","x.560","2017-06-19","Mariners Bluff",0
"528","x.561","2017-06-19","Goat Island",0
"529","x.562","2017-06-19","Goat Island",0
"530","x.553","2017-06-19","Goat Island",0
"531","x.564","2017-06-19","Goat Island",0
"532","x.565","2017-06-19","Goat Island",0
"533","x.568","2017-06-21","Hoypus",1
"534","x.569","2017-06-21","Hoypus",1
"535","x.570","2017-06-21","Hoypus",1
"536","x.571","2017-06-21","Hoypus",1
"537","x.572","2017-06-21","Hoypus",0
"538","x.573","2017-06-21","Lone Tree Point",1
"539","x.574","2017-06-21","Lone Tree Point",1
"540","x.575","2017-06-21","Lone Tree Point",1
"541","x.576","2017-06-21","Lone Tree Point",1
"542","x.577","2017-06-21","Goat Island",1
"543","x.578","2017-06-21","Goat Island",1
"544","x.579","2017-06-21","Goat Island",1
"545","x.580","2017-06-21","Goat Island",1
"546","x.581","2017-06-21","Dugualla Bluff",0
"547","x.582","2017-06-21","Dugualla Bluff",0
"548","x.583","2017-06-21","Dugualla Bluff",0
"549","x.584","2017-06-21","Dugualla Bluff",0
"550","x.585","2017-06-21","Turners Spit N",1
"551","x.586","2017-06-21","Turners Spit N",1
"552","x.587","2017-06-21","Turners Spit N",1
"553","x.588","2017-06-21","Turners Spit N",1
